Socket del servidor creado.

Socket enlazado a puerto 8080.

Server escuchando...

2025-10-05 21:16:55 "Servidor de chat iniciado" - SERVER
2025-10-05 21:17:41 "Sala 1 creada" - SERVER
2025-10-05 21:18:09 "JOIN|1|sabogal" - sabogal
2025-10-05 21:19:01 "JOIN|1|SARA" - SARA
2025-10-05 21:19:10 "MSG|1|hols chachos" - SARA
2025-10-05 21:19:19 "MSG|1|que pasa puta " - ALVERIO
2025-10-05 21:19:31 "MSG|1|ey ey ey respetico pues con la niña" - sabogal
2025-10-05 21:20:14 "Sala 2 creada" - SERVER
2025-10-05 21:20:14 "JOIN|2|emmanuel" - emmanuel
2025-10-05 21:20:30 "MSG|2|ey amor " - mariana
2025-10-05 21:20:35 "MSG|2|ey mi vida" - emmanuel
2025-10-05 21:20:49 "LEAVE|2|" - emmanuel
